客场队名,主场队名,客场本场前战绩,主场本场前战绩
113,17,9胜11负,10胜11负
113,57,16胜17负,12胜21负
113,134,26胜28负,19胜35负
113,183,34胜32负,45胜22负
114,58,8胜37负,9胜37负
114,149,14胜47负,40胜23负
114,149,4胜11负,11胜5负
114,198,2胜5负,4胜3负
115,38,10胜16负,7胜19负
115,94,5胜6负,5胜6负
115,157,0胜0负,0胜0负
115,199,13胜29负,13胜27负
116,27,28胜44负,37胜36负
116,53,5胜13负,9胜9负
116,137,24胜36负,37胜23负
116,137,31胜47负,48胜30负
116,165,16胜28负,15胜29负
116,186,23胜35负,41胜18负
117,7,41胜23负,12胜52负
117,21,10胜5负,7胜6负
117,103,50胜26负,47胜29负
118,83,1胜3负,3胜1负
118,174,2胜0负,0胜2负
119,70,20胜4负,15胜7负
119,147,42胜16负,43胜18负
119,161,38胜12负,17胜34负
119,182,39胜14负,29胜26负
119,189,50胜18负,45胜21负
119,196,6胜3负,3胜3负
120,50,22胜5负,9胜18负
120,162,46胜15负,35胜25负
120,183,55胜19负,49胜25负
120,190,28胜9负,17胜19负
120,197,13胜4负,9胜9负
120,204,0胜1负,1胜0负
121,86,20胜20负,18胜22负
121,114,9胜13负,5胜16负
121,191,23胜23负,34胜12负
122,94,1胜0负,0胜1负
122,143,3胜1负,1胜3负
122,157,19胜9负,5胜23负
122,171,41胜18负,24胜33负
123,13,28胜19负,31胜14负
123,39,37胜29负,12胜53负
123,116,24胜16负,13胜26负
123,137,25胜19负,29胜16负
123,144,25胜18负,35胜6负
123,186,0胜1负,1胜0负
124,28,3胜1负,1胜2负
124,54,8胜8负,4胜13负
124,145,1胜0负,0胜0负
124,187,6胜5负,4胜7负
125,146,3胜0负,1胜2负
125,160,5胜1负,2胜4负
125,174,15胜12负,16胜11负
125,181,7胜4负,4胜7负
125,195,7胜5负,3胜9负
126,98,6胜8负,0胜12负
126,140,20胜15负,22胜12负
126,189,16胜15负,20胜9负
127,50,34胜14负,19胜29负
127,120,31胜10负,31胜10负
127,134,17胜4负,4胜18负
127,204,0胜1负,1胜0负
128,25,17胜6负,7胜16负
128,51,15胜4负,4胜17负
128,135,36胜17负,19胜34负
128,184,22胜6负,19胜7负
128,191,44胜23负,48胜21负
128,198,21胜6负,13胜12负
129,38,17胜24负,11胜28负
129,94,11胜16负,14胜11负
129,108,14胜21负,12胜22负
129,115,8胜12负,8胜10负
129,143,41胜36负,68胜8负
129,206,4胜7负,7胜2负
130,6,11胜10负,11胜8负
131,21,31胜27负,26胜30负
131,68,5胜3负,6胜3负
131,103,0胜0负,0胜0负
131,145,12胜5负,3胜14负
131,180,24胜13负,16胜20负
131,194,18胜8负,15胜10负
132,55,19胜19负,23胜17负
132,125,32胜30负,28胜34负
132,188,31胜29负,34胜24负
132,202,29胜27负,39胜14负
133,9,32胜28负,20胜40负
133,16,19胜19负,14胜23负
133,168,28胜23负,17胜33负
133,175,34胜35负,33胜36负
133,189,43胜38负,55胜26负
134,24,21胜37负,45胜13负
134,71,7胜21负,14胜12负
134,127,19胜34负,36胜18负
134,190,8胜22负,11胜15负
135,44,24胜35负,23胜35负
135,100,6胜17负,16胜6负
135,170,34胜42负,26胜49负
135,184,38胜43负,55胜26负
136,66,28胜31负,39胜19负
136,94,4胜4负,4胜5负
136,129,17胜20负,16胜24负
136,129,27胜27负,28胜27负
136,143,12胜14负,26胜1负
136,178,25胜25负,29胜25负
136,192,28胜32负,36胜24负
136,199,26胜25负,19胜32负
137,13,43胜25负,44胜22负
137,74,32胜19负,30胜21负
137,88,6胜4负,2胜5负
137,123,37胜22负,34胜25负
137,186,40胜24负,44胜20负
137,207,1胜2负,4胜0负
138,28,6胜3负,4胜5负
138,96,26胜33负,15胜44负
138,145,15胜21负,11胜24负
138,166,30胜36负,15胜49负
138,194,13胜21负,21胜14负
138,201,8胜13负,17胜3负
139,8,4胜8负,6胜6负
139,146,22胜36负,36胜23负
139,181,19胜25负,25胜22负
140,105,3胜1负,1胜3负
140,126,46胜35负,33胜48负
141,64,36胜23负,32胜26负
141,176,9胜6负,9胜6负
142,128,2胜0负,1胜1负
142,198,3胜0负,0胜3负
143,101,44胜4负,21胜25负
143,129,2胜0负,0胜2负
143,136,18胜0负,8胜7负
143,164,47胜4负,14胜39负
143,206,62胜6负,58胜10负
144,34,10胜2负,5胜6负
144,74,51胜11负,34胜28负
144,137,2胜0负,0胜2负
144,193,44胜8负,33胜22负
144,207,2胜0负,0胜2负
145,28,20胜34负,20胜33负
145,61,20胜33负,14胜40负
145,110,20胜35负,13胜42负
145,117,21胜35负,35胜19负
145,124,16胜25负,23胜20负
145,166,21胜39负,14胜43负
145,166,9胜22负,5胜22负
145,194,1胜6负,6胜0负
145,201,1胜7负,5胜1负
146,48,40胜25负,34胜30负
146,90,14胜7负,15胜9负
146,97,13胜7负,4胜19负
146,167,20胜12负,12胜22负
146,167,32胜22负,19胜35负
146,195,26胜20负,11胜35负
146,202,0胜0负,0胜0负
146,202,1胜0负,1胜0负
147,91,34胜16负,14胜34负
147,126,3胜2负,2胜2负
147,189,28胜9负,24胜11负
147,196,52胜26负,27胜52负
148,24,28胜13负,31胜7负
148,120,0胜0负,0胜0负
148,141,20胜9负,16胜13负
148,141,2胜1负,1胜2负
148,176,22胜12负,19胜13负
149,11,33胜16负,30胜20负
149,44,48胜25负,32胜40负
149,72,19胜9负,20胜7负
149,156,51胜26负,20胜55负
149,177,33胜19负,35胜18负
149,191,7胜4负,11胜2负
149,198,32胜14负,24胜22负
150,19,14胜10负,14胜11负
150,26,28胜16负,23胜21负
150,87,33胜17负,29胜22负
150,129,2胜1负,1胜2负
150,178,5胜2负,3胜4负
150,192,43胜24负,39胜30负
151,20,14胜2负,7胜9负
151,39,14胜4负,4胜12负
151,137,40胜26负,41胜25负
151,144,35胜21负,47胜9负
151,158,42胜29负,20胜50负
151,172,24胜14负,15胜20负
151,193,3胜1负,3胜2负
152,0,16胜6负,12胜8负
152,7,38胜18负,9胜46负
152,21,18胜7负,11胜12负
152,47,37胜16负,26胜25负
152,159,24胜11负,14胜18负
152,180,13胜5负,5胜12负
152,194,21胜10负,18胜13负
153,41,14胜11负,14胜10负
153,104,13胜9负,15胜7负
153,125,4胜3负,4胜1负
153,139,39胜23负,22胜38负
153,146,34胜20负,32胜21负
153,160,35胜21负,28胜27负
154,30,37胜35负,34胜36负
154,84,24胜27负,33胜14负
154,91,33胜31负,18胜46负
154,105,14胜14负,15胜14负
154,147,15胜16负,25胜8负
154,196,30胜31负,21胜40负
154,196,8胜10负,5胜11负
155,71,11胜12负,12胜12负
155,99,7胜7负,5胜8负
155,106,4胜5负,2胜4负
155,120,22胜42负,47胜17负
155,204,26胜55负,62胜19负
156,4,9胜19负,19胜9负
156,32,13胜35负,26胜22负
156,37,19胜52负,31胜40负
156,107,20胜57负,28胜49负
157,66,3胜17负,12胜9负
157,94,1胜6负,3胜5负
157,101,2胜15负,7胜8负
157,108,4胜23负,11胜16负
157,129,2胜12负,6胜10负
157,150,16胜60负,48胜28负
158,6,9胜10负,10胜6负
158,116,6胜4负,2胜6负
158,144,8胜7负,12胜2负
159,14,20胜21负,15胜28负
159,21,29胜27负,26胜31负
159,54,20胜22负,18胜25负
159,166,14胜17负,6胜24负
159,180,6胜7负,3胜9负
160,1,4胜8负,12胜3负
160,29,10胜14负,10胜13负
160,132,33胜31负,34胜30负
160,167,11胜15负,10胜16负
160,174,2胜3负,2胜4负
161,35,12胜25负,20胜15负
161,119,11胜20负,23胜6负
162,3,20胜12负,14胜18负
162,71,41胜29负,31胜37负
162,92,6胜6负,4胜8负
162,134,8胜7负,2胜14负
162,190,9胜8负,8胜8负
162,197,2胜1负,1胜2负
163,4,29胜26负,34胜21负
163,58,7胜5负,0胜11负
163,114,21胜16负,5胜28负
163,121,12胜12负,10胜13负
163,156,2胜1负,0胜4负
163,177,39胜39负,46胜31负
164,26,13胜26负,21胜16负
164,45,13胜27负,20胜19负
164,73,20胜57负,45胜32负
164,199,7胜5负,2胜11负
165,46,22胜50负,46胜26负
165,123,8胜18负,15胜11负
165,151,10胜24负,22胜14负
166,131,15胜44负,32胜30负
166,173,13胜39负,38胜16负
166,194,15胜48负,38胜29负
166,201,15胜47负,52胜12负
167,125,1胜0负,1胜0负
167,188,6胜10负,8胜6负
168,105,25胜44负,48胜22负
168,203,20胜39负,45胜14负
169,43,17胜32负,17胜33负
169,99,17胜33负,24胜25负
170,11,16胜28负,27胜20负
170,86,21胜39负,27胜34负
170,114,13胜19负,5胜25负
170,121,5胜1负,1胜5负
170,149,1胜1负,2胜0负
171,5,27胜42负,35胜33负
171,33,5胜10负,6胜8负
171,206,25胜35负,52胜9负
172,46,7胜11负,10胜8负
172,116,12胜17负,9胜19负
172,137,8胜14负,14胜10负
172,151,32胜49负,50胜31负
172,165,0胜0负,0胜0负
172,179,7胜13负,4胜16负
172,193,16胜25负,25胜19负
172,207,25胜38负,49胜13负
173,7,24胜8负,8胜25负
173,117,23胜5负,21胜10负
173,131,50胜21负,36胜37负
173,145,1胜1负,0胜2负
173,145,52胜21负,29胜45负
173,152,1胜0负,0胜1负
173,152,53胜21负,53胜20负
174,69,36胜29负,39胜26负
174,188,21胜14负,19胜15负
175,112,11胜12负,11胜9负
175,126,19胜25负,22胜22负
175,168,36胜39负,27胜48负
175,196,39胜40负,27胜53负
176,127,12胜8负,17胜3负
176,183,15胜12负,18胜10负
176,197,20胜16负,15胜19负
176,204,20胜15负,27胜8负
177,32,14胜5负,10胜9负
177,114,29胜13负,7胜33负
177,149,26胜11负,24胜12负
177,163,20胜9负,15胜14负
177,184,0胜0负,0胜0负
178,52,12胜9负,10胜11负
178,157,1胜1负,0胜2负
178,185,5胜4负,4胜5负
178,206,23胜18负,35胜6负
179,6,13胜27负,21胜21负
179,20,22胜33负,26胜30负
179,74,24胜35负,33胜26负
179,88,14胜27负,12胜30负
179,95,2胜9负,5胜7负
179,109,20胜30负,22胜28负
179,151,8胜21负,22胜8负
180,14,26胜31负,21胜36负
181,41,21胜17负,19胜17负
181,83,33胜31负,45胜18负
181,104,13胜11负,15胜9负
181,125,14胜11负,14胜11负
182,30,18胜14负,16胜14负
182,49,11胜12负,18胜5负
182,196,22胜22负,14胜28负
182,203,16胜12负,22胜8负
183,50,5胜4负,3胜4负
183,120,44胜19负,46胜17负
183,127,0胜2负,2胜0负
183,169,38胜18负,20胜36负
183,204,18胜11负,22胜6负
184,25,46胜23负,30胜39负
184,128,43胜20负,41胜20负
184,135,1胜0负,0胜0负
184,149,43胜22负,42胜24负
184,156,30胜14负,12胜32负
184,198,22胜9负,16胜16负
185,26,36胜37负,38胜34负
185,33,29胜30负,24胜35负
185,66,30胜32负,41胜19负
185,143,0胜0负,0胜0负
185,178,38胜39负,39胜38负
185,192,19胜19负,21胜18负
186,6,44胜21负,31胜33负
186,20,8胜5负,6胜8负
186,34,34胜13负,20胜23负
186,116,31胜9负,12胜26负
186,137,11胜6负,10胜8负
186,158,0胜0负,0胜0负
186,172,53胜26负,31胜48负
186,179,23胜9负,9胜22负
187,0,40胜32负,51胜19负
187,117,2胜2负,2胜2负
187,124,46胜34负,47胜33负
187,173,0胜1负,1胜0负
187,201,33胜27负,48胜10负
188,15,7胜6负,3胜12负
188,146,10胜7负,9胜6负
188,146,25胜20负,26胜21负
188,167,25胜18负,16胜29负
189,9,40胜19负,21胜40负
189,84,38胜18负,41胜14负
189,126,50胜24负,33胜41负
189,182,18胜6负,13胜12负
190,43,7胜7负,6胜10负
190,113,44胜30负,36胜37负
190,120,26胜20负,38胜11负
190,204,45胜31负,59胜17负
191,18,47胜20负,23胜43负
191,32,6胜0负,2胜4负
191,149,40胜14负,37胜19负
191,205,20胜4负,17胜8负
192,150,3胜4负,4胜2负
192,164,34胜23负,14胜44负
192,185,39胜27负,33胜33负
192,199,10胜8负,4胜13负
192,206,0胜0负,0胜0负
193,27,34胜24负,29胜28负
194,47,35胜27负,30胜28负
194,124,11胜3负,8胜6负
194,131,11胜2负,10胜5负
195,132,2胜2负,1胜3负
195,139,20胜44负,23胜41负
195,160,0胜0负,0胜0负
195,181,21胜44负,33胜32负
195,202,4胜18负,14胜9负
196,23,3胜6负,5胜7负
196,42,12胜26负,20胜17负
196,161,26胜50负,23胜53负
196,182,7胜24负,17胜14负
196,189,14胜29负,28胜14负
197,106,32胜42负,32胜42负
197,141,11胜11负,13胜12负
197,155,23胜37负,21胜39负
197,169,23胜36负,20胜39负
198,25,14胜13负,9胜19负
198,32,34胜29负,33胜29负
198,72,7胜6负,7胜6负
198,184,43胜36负,53胜26负
199,87,9胜19负,16胜11负
199,108,7胜19负,11胜15负
199,115,30胜51负,28胜53负
199,192,24胜39负,38胜26负
200,60,9胜20负,7胜20负
200,109,33胜45负,37胜41负
200,172,0胜7负,3胜5负
201,0,46胜9负,37胜16负
201,14,42胜8负,19胜32负
201,28,32胜6负,14胜21负
201,124,57胜14负,41胜30负
201,131,9胜1负,8胜4负
201,180,57胜18负,39胜36负
202,55,17胜9负,18胜7负
202,111,3胜1负,1胜3负
202,160,33胜14负,25胜24负
202,160,48胜16负,33胜32负
202,174,12胜8负,12胜8负
203,23,9胜3负,6胜7负
203,42,8胜3负,6胜5负
203,49,26胜8负,21胜10负
203,91,12胜3负,5胜8负
203,112,49胜15负,21胜39负
203,154,58胜21负,43胜37负
203,189,2胜0负,0胜2负
203,189,55胜18负,49胜24负
204,64,15胜4负,7胜12负
204,134,18胜4负,6胜19负
204,134,8胜1负,1胜8负
204,141,20胜5负,14胜12负
204,148,19胜4负,16胜9负
205,25,32胜19负,20胜32负
205,100,23胜15负,25胜12负
205,149,2胜2负,2胜2负
205,191,19胜13负,22胜8负
206,26,53胜9负,33胜30负
206,33,29胜6负,14胜21负
206,59,17胜4负,1胜20负
206,115,53胜10负,20胜44负
206,192,15胜4负,11胜8负
206,199,51胜9负,23胜36负
207,20,40胜12负,25胜28负
207,109,28胜7负,14胜21负
207,123,57胜17负,43胜31负
207,130,23胜6负,13胜18负
207,137,61胜20负,50胜31负
207,151,43胜13负,35胜22负
207,186,22胜5负,21胜7负
